"index","ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","default payment next month"
"0","1","20000","Female","University","Married","24","Yes"
"1","2","120000","Female","University","Single","26","Yes"
"2","3","90000","Female","University","Single","34","No"
"3","4","50000","Female","University","Married","37","No"
"4","5","50000","Male","University","Married","57","No"
"5","6","50000","Male","Graduate school","Single","37","No"
"6","7","500000","Male","Graduate school","Single","29","No"
"7","8","100000","Female","University","Single","23","No"
"8","9","140000","Female","High school","Married","28","No"
"9","10","20000","Male","High school","Single","35","No"
"10","11","200000","Female","High school","Single","34","No"
"11","12","260000","Female","Graduate school","Single","51","No"
"12","13","630000","Female","University","Single","41","No"
"13","14","70000","Male","University","Single","30","Yes"
"14","15","250000","Male","Graduate school","Single","29","No"
"15","16","50000","Female","High school","others","23","No"
"16","17","20000","Male","Graduate school","Single","24","Yes"
"17","18","320000","Male","Graduate school","Married","49","No"
"18","19","360000","Female","Graduate school","Married","49","No"
"19","20","180000","Female","Graduate school","Single","29","No"
"20","21","130000","Female","High school","Single","39","No"
"21","22","120000","Female","University","Married","39","Yes"
"22","23","70000","Female","University","Single","26","Yes"
"23","24","450000","Female","Graduate school","Married","40","Yes"
"24","25","90000","Male","Graduate school","Single","23","No"
"25","26","50000","Male","High school","Single","23","No"
"26","27","60000","Male","Graduate school","Single","27","Yes"
"27","28","50000","Female","High school","Single","30","No"
"28","29","50000","Female","High school","Married","47","No"
"29","30","50000","Male","Graduate school","Single","26","No"
"30","31","230000","Female","Graduate school","Single","27","No"
"31","32","50000","Male","University","Single","33","Yes"
"32","33","100000","Male","Graduate school","Single","32","No"
"33","34","500000","Female","University","Married","54","No"
"34","35","500000","Male","Graduate school","Married","58","No"
"35","36","160000","Male","Graduate school","Single","30","No"
"36","37","280000","Male","University","Married","40","No"
"37","38","60000","Female","University","Single","22","No"
"38","39","50000","Male","Graduate school","Single","25","Yes"
"39","40","280000","Male","Graduate school","Single","31","No"
"40","41","360000","Male","Graduate school","Single","33","No"
"41","42","70000","Female","Graduate school","Single","25","No"
"42","43","10000","Male","University","Single","22","No"
"43","44","140000","Female","University","Married","37","No"
"44","45","40000","Female","Graduate school","Single","30","No"
"45","46","210000","Male","Graduate school","Single","29","Yes"
"46","47","20000","Female","Graduate school","Single","22","Yes"
"47","48","150000","Female","unknown","Single","46","Yes"
"48","49","380000","Male","University","Single","32","No"
"49","50","20000","Male","Graduate school","Single","24","No"
"50","51","70000","Male","High school","Single","42","Yes"
"51","52","100000","Female","High school","others","43","No"
"52","53","310000","Female","University","Married","49","No"
"53","54","180000","Female","Graduate school","Single","25","No"
"54","55","150000","Female","Graduate school","Single","29","No"
"55","56","500000","Female","Graduate school","Married","45","No"
"56","57","180000","Female","High school","Married","34","No"
"57","58","180000","Female","University","Married","34","No"
"58","59","200000","Female","Graduate school","Single","34","No"
"59","60","400000","Female","University","Married","29","No"
"60","61","500000","Female","High school","Married","28","Yes"
"61","62","70000","Male","University","Married","39","No"
"62","63","50000","Male","Graduate school","Single","29","Yes"
"63","64","50000","Female","University","Married","46","Yes"
"64","65","130000","Female","University","Married","51","No"
"65","66","200000","Male","Graduate school","Married","57","Yes"
"66","67","10000","Male","University","Married","56","Yes"
"67","68","210000","Female","Graduate school","Single","30","No"
"68","69","130000","Female","High school","Single","29","No"
